film_id,film_name,budget_usd,marketing_spend_usd,social_mentions,first_week_views,genre,avg_rating
F027,Harry Potter and the Deathly Hallows: Part 1,645936708,72270257,70703,16141089,Drama,4.58
F028,Harry Potter and the Deathly Hallows: Part 2,5940525,2061319,2516,307560,Thriller,3.44
F029,The Lord of the Rings: The Fellowship of the Ring,1902428,863221,1382,97285,Musical,3.63
F030,The Lord of the Rings: The Two Towers,150614587,68333780,68834,11025543,Fantasy,3.15
F031,The Lord of the Rings: The Return of the King,3054120,1387637,1973,15010,Action,3.29
F032,The Hobbit: An Unexpected Journey,44279363,16000473,13617,2840085,Sci-Fi,3.43
F033,The Hobbit: The Desolation of Smaug,9466710,3653403,5580,609879,Family,4.02
F034,The Hobbit: The Battle of the Five Armies,1909960,411543,100,80010,Animation,3.71
F035,Pirates of the Caribbean: The Curse of the Black Pearl,474394522,158453644,158479,23308898,Fantasy,3.89
F036,Pirates of the Caribbean: Dead Man's Chest,3852378,1445040,100,337530,Sci-Fi,4.72
F037,Pirates of the Caribbean: At World's End,555383752,120280245,121226,27903126,Drama,4.54
F038,Pirates of the Caribbean: On Stranger Tides,7644457,1706961,813,114917,Animation,4.0
F039,Iron Man,643375209,233682502,231914,36294338,Adventure,4.78
F040,Iron Man 2,2631794,745451,1461,140434,Adventure,4.26
F041,Iron Man 3,11980458,2181837,3211,470110,Family,4.64
F042,Captain America: The First Avenger,34200085,9428359,10570,1667325,Adventure,4.43
F043,Captain America: Civil War,467752401,94531740,92986,13912380,Animation,3.06
F044,Thor,24934120,7335370,8707,163673,Animation,3.07
F045,Thor: Ragnarok,293630849,62274930,62403,11773228,Musical,3.39
F046,Guardians of the Galaxy,73904592,6533635,6624,894749,Fantasy,4.15
F047,Guardians of the Galaxy Vol. 2,150755790,73739697,69689,14378616,Action,3.49
F048,Black Panther,20745039,1769663,2779,211924,Thriller,3.31
F049,Spider-Man: Homecoming,2946531,479133,4010,87273,Comedy,3.5
F050,Spider-Man: Far From Home,732142877,279717831,283962,31436322,Adventure,3.45
F051,Spider-Man: No Way Home,11692786,4572238,5459,583905,Family,3.18
F052,Toy Story,29843353,7850660,7345,820333,Adventure,4.11
F053,Toy Story 2,80404610,5659423,8541,710912,Comedy,4.54
F054,Toy Story 3,94641343,11671216,12069,289492,Fantasy,4.05
F055,Toy Story 4,661745084,204454997,207627,24676604,Horror,3.98
F056,Frozen,667412638,149331032,149893,5312915,Musical,3.57
F057,Frozen II,342472680,20710134,19531,969580,Animation,4.25
F058,The Lion King,77059917,34281060,35906,2825271,Musical,3.32
F059,The Lion King (2019),178584702,73768988,73727,7515273,Drama,4.4
F060,Finding Nemo,10529569,4936691,4501,936209,Adventure,4.36
F061,Finding Dory,2038785,929989,3540,84501,Action,4.61
F062,Shrek,14709741,807225,1455,182359,Horror,4.03
F063,Shrek 2,78616125,19795578,17783,3300463,Drama,4.35
F064,Shrek the Third,236993880,96060294,96035,3119665,Fantasy,3.99
F065,The Hunger Games,21115020,9490502,7839,481936,Adventure,4.37
F066,The Hunger Games: Catching Fire,71557340,6834098,7324,235942,Drama,4.48
F067,The Hunger Games: Mockingjay - Part 1,131439737,11383594,8487,2235090,Adventure,4.71
F068,The Hunger Games: Mockingjay - Part 2,907827201,353163104,351726,67440108,Family,4.01
F069,The Twilight Saga: New Moon,18735531,8578240,8540,172940,Fantasy,3.84
F070,The Twilight Saga: Eclipse,1475400,152656,798,11563,Thriller,4.05
F071,The Twilight Saga: Breaking Dawn - Part 1,770047730,168403093,169783,11643968,Horror,4.73
F072,The Twilight Saga: Breaking Dawn - Part 2,1087585,529050,977,19422,Animation,4.0
F073,Mission: Impossible - Ghost Protocol,808923787,230862019,233764,27722404,Sci-Fi,4.13
F074,Mission: Impossible - Rogue Nation,56616489,25790005,30169,2073439,Animation,3.34
F075,Mission: Impossible - Fallout,24609070,5143504,3625,1208474,Animation,4.78
F076,Skyfall,124304010,36202718,38103,6166124,Drama,3.29
F077,Spectre,540482396,227079224,224438,51174930,Horror,4.56
F078,No Time to Die,1366645,84547,2443,10671,Fantasy,3.27
F079,Fast & Furious,60588771,13414407,13185,1517247,Horror,3.49
F080,2 Fast 2 Furious,1476136,648208,658,123565,Horror,4.7
F081,Fast & Furious (2009),353950208,57094520,54959,13122681,Adventure,4.09
F082,Fast Five,4852085,1709221,100,102438,Musical,4.21
F083,Furious 7,36385060,14464635,16823,2046931,Horror,4.01
F084,The Fate of the Furious,426541024,98772948,100063,17302519,Sci-Fi,3.38
F085,Hobbs & Shaw,2565159,145047,2261,1000,Comedy,3.79
F086,Mad Max: Fury Road,515793759,106622286,109627,11435593,Drama,4.12
F087,Gladiator,386448055,184445581,181038,22318624,Sci-Fi,4.76
F088,The Revenant,30050678,5948177,3339,231631,Thriller,3.23
F089,Joker,2421795,286634,1019,1000,Family,3.62
F090,Frozen (duplicate avoided),490190883,129058797,127087,8050906,Fantasy,3.07
F091,Doctor Strange,3212219,563312,349,16132,Horror,3.66
F092,Doctor Strange in the Multiverse of Madness,32378133,11678069,10278,2482217,Comedy,4.66
F093,Deadpool,1524873,266235,1494,31282,Drama,3.38
F094,Deadpool 2,12924576,3464243,433,449135,Horror,4.35
F095,A Quiet Place,1288396,210777,1363,34167,Animation,3.96
F096,A Quiet Place Part II,2096602,526950,100,45821,Action,3.68
F097,Interstellar,1148718,223926,100,1000,Drama,4.6
F098,Dune,60363909,21465167,21449,869369,Action,3.97
F099,Dune: Part Two (placeholder),57613379,22206948,20132,1826727,Animation,3.65
F100,The Suicide Squad,86646639,26587541,23790,1138362,Family,3.28
F101,Wonder Woman,5468562,668841,100,21608,Fantasy,4.61
F102,Aquaman,1740609,497866,1038,21224,Adventure,3.72
F103,Blade Runner 2049,809862518,355916927,354763,20514239,Drama,4.2
F104,Les Misérables (movie musical),613942880,184516420,181177,34937693,Musical,3.34
F105,The Social Network,9354868,2258699,100,103199,Animation,4.1
F106,The Grand Budapest Hotel,7343306,2287859,2155,289604,Drama,3.09
