user_id,film_id,film_name,watch_minutes,watch_date,country,cost_of_ticket
U210,F080,2 Fast 2 Furious,50,2025-05-21,UK,10
U035,F094,Deadpool 2,10,2025-04-04,UK,10
U040,F094,Deadpool 2,15,2025-05-17,JP,8
U088,F031,The Lord of the Rings: The Return of the King,13,2025-08-28,DE,8
U065,F011,Star Wars: The Force Awakens,117,2025-03-29,IN,10
U012,F101,Wonder Woman,46,2025-05-30,CA,20
U068,F066,The Hunger Games: Catching Fire,23,2025-06-27,MX,10
U144,F101,Wonder Woman,33,2025-04-03,UK,10
U177,F098,Dune,141,2025-07-23,US,8
U150,F080,2 Fast 2 Furious,10,2025-04-12,IN,12
U079,F043,Captain America: Civil War,40,2025-03-16,FR,10
U064,F082,Fast Five,31,2025-06-04,MX,10
U105,F045,Thor: Ragnarok,42,2025-04-14,AU,12
U250,F066,The Hunger Games: Catching Fire,2,2025-06-19,US,8
U237,F048,Black Panther,118,2025-06-19,AU,8
U202,F082,Fast Five,89,2025-06-11,US,10
U057,F031,The Lord of the Rings: The Return of the King,56,2025-07-01,FR,8
U204,F034,The Hobbit: The Battle of the Five Armies,65,2025-05-02,US,8
U103,F048,Black Panther,118,2025-05-16,UK,10
U072,F043,Captain America: Civil War,56,2025-08-17,MX,15
U216,F080,2 Fast 2 Furious,10,2025-05-29,US,12
U249,F094,Deadpool 2,32,2025-04-20,JP,12
U068,F011,Star Wars: The Force Awakens,54,2025-04-02,JP,10
U187,F048,Black Panther,32,2025-06-25,JP,20
U030,F001,Avatar,88,2025-07-31,AU,10
U182,F079,Fast & Furious,112,2025-03-06,MX,8
U138,F031,The Lord of the Rings: The Return of the King,135,2025-06-07,IN,12
U171,F048,Black Panther,35,2025-08-12,FR,8
U032,F012,Star Wars: The Last Jedi,5,2025-07-13,DE,10
U084,F001,Avatar,132,2025-08-31,DE,12
U050,F079,Fast & Furious,102,2025-08-23,IN,15
U232,F066,The Hunger Games: Catching Fire,6,2025-08-10,JP,10
U141,F101,Wonder Woman,107,2025-05-22,DE,15
U202,F056,Frozen,98,2025-08-08,FR,20
U114,F031,The Lord of the Rings: The Return of the King,49,2025-07-14,BR,8
U246,F066,The Hunger Games: Catching Fire,41,2025-08-21,UK,10
U170,F045,Thor: Ragnarok,22,2025-05-30,UK,10
U193,F034,The Hobbit: The Battle of the Five Armies,3,2025-08-25,DE,10
U051,F098,Dune,28,2025-03-12,US,10
U122,F045,Thor: Ragnarok,73,2025-03-24,BR,20
U162,F056,Frozen,2,2025-04-24,IN,15
U063,F098,Dune,28,2025-08-20,US,12
U221,F082,Fast Five,22,2025-06-22,AU,10
U246,F068,The Hunger Games: Mockingjay - Part 2,40,2025-07-02,US,15
U235,F082,Fast Five,89,2025-06-30,CA,20
U171,F068,The Hunger Games: Mockingjay - Part 2,22,2025-07-27,JP,15
U194,F019,The Matrix Reloaded,26,2025-08-09,MX,8
U233,F080,2 Fast 2 Furious,86,2025-06-28,CA,12
U122,F019,The Matrix Reloaded,37,2025-05-11,AU,8
U071,F068,The Hunger Games: Mockingjay - Part 2,13,2025-07-08,AU,10
U020,F012,Star Wars: The Last Jedi,26,2025-05-05,DE,8
U229,F080,2 Fast 2 Furious,9,2025-03-26,CA,12
U099,F098,Dune,13,2025-04-29,UK,12
U085,F080,2 Fast 2 Furious,44,2025-07-03,IN,8
U214,F079,Fast & Furious,30,2025-06-13,JP,10
U006,F056,Frozen,98,2025-06-11,BR,10
U091,F012,Star Wars: The Last Jedi,19,2025-06-13,IN,10
U189,F080,2 Fast 2 Furious,56,2025-08-07,AU,8
U070,F079,Fast & Furious,56,2025-07-08,US,10
U172,F001,Avatar,2,2025-04-17,BR,15
U160,F080,2 Fast 2 Furious,70,2025-03-12,IN,8
U170,F101,Wonder Woman,10,2025-03-27,IN,8
U119,F066,The Hunger Games: Catching Fire,93,2025-03-18,DE,10
U055,F019,The Matrix Reloaded,10,2025-05-28,FR,20
U098,F094,Deadpool 2,20,2025-06-21,DE,12
U121,F101,Wonder Woman,4,2025-07-22,US,12
U090,F034,The Hobbit: The Battle of the Five Armies,109,2025-08-19,UK,10
U167,F011,Star Wars: The Force Awakens,40,2025-03-13,AU,12
U006,F045,Thor: Ragnarok,40,2025-04-14,AU,8
U172,F082,Fast Five,3,2025-07-28,AU,12
U066,F043,Captain America: Civil War,63,2025-04-17,JP,20
U192,F082,Fast Five,10,2025-04-16,DE,12
U007,F012,Star Wars: The Last Jedi,87,2025-07-31,IN,15
U184,F031,The Lord of the Rings: The Return of the King,15,2025-03-25,JP,15
U161,F034,The Hobbit: The Battle of the Five Armies,11,2025-04-01,DE,8
U154,F082,Fast Five,2,2025-07-28,US,20
U110,F043,Captain America: Civil War,29,2025-03-23,MX,8
U004,F079,Fast & Furious,46,2025-07-09,UK,12
U093,F019,The Matrix Reloaded,4,2025-04-14,IN,8
U134,F094,Deadpool 2,56,2025-08-10,MX,8
U120,F079,Fast & Furious,33,2025-08-04,DE,10
U063,F005,Titanic,46,2025-05-16,BR,10
U119,F056,Frozen,28,2025-08-09,IN,10
U127,F048,Black Panther,30,2025-04-21,BR,12
U205,F094,Deadpool 2,30,2025-06-01,DE,8
U180,F094,Deadpool 2,6,2025-07-26,US,8
U049,F005,Titanic,12,2025-05-06,IN,12
U195,F034,The Hobbit: The Battle of the Five Armies,107,2025-08-29,BR,10
U126,F019,The Matrix Reloaded,126,2025-03-10,UK,15
U104,F034,The Hobbit: The Battle of the Five Armies,25,2025-05-23,JP,12
U142,F068,The Hunger Games: Mockingjay - Part 2,16,2025-06-02,IN,15
U141,F048,Black Panther,60,2025-06-04,BR,12
U065,F034,The Hobbit: The Battle of the Five Armies,28,2025-04-05,AU,10
U191,F080,2 Fast 2 Furious,2,2025-08-29,CA,12
U190,F065,The Hunger Games,10,2025-05-15,JP,10
U135,F045,Thor: Ragnarok,56,2025-05-17,UK,10
U076,F034,The Hobbit: The Battle of the Five Armies,58,2025-06-06,CA,15
U182,F080,2 Fast 2 Furious,2,2025-04-07,DE,10
U014,F080,2 Fast 2 Furious,16,2025-05-19,CA,15
U193,F065,The Hunger Games,15,2025-04-01,US,15
U121,F065,The Hunger Games,67,2025-06-26,FR,15
U014,F094,Deadpool 2,2,2025-07-06,UK,20
U103,F065,The Hunger Games,6,2025-03-24,JP,10
U014,F098,Dune,113,2025-04-13,JP,10
U022,F034,The Hobbit: The Battle of the Five Armies,10,2025-04-05,MX,12
U156,F045,Thor: Ragnarok,47,2025-08-11,AU,10
U098,F019,The Matrix Reloaded,17,2025-06-27,DE,12
U110,F012,Star Wars: The Last Jedi,4,2025-07-29,JP,15
U246,F082,Fast Five,12,2025-04-28,AU,12
U021,F066,The Hunger Games: Catching Fire,59,2025-05-06,CA,10
U041,F101,Wonder Woman,103,2025-06-18,BR,8
U121,F012,Star Wars: The Last Jedi,77,2025-03-14,AU,10
U073,F019,The Matrix Reloaded,31,2025-03-24,AU,8
U202,F056,Frozen,54,2025-08-22,AU,15
U140,F034,The Hobbit: The Battle of the Five Armies,12,2025-08-18,CA,10
U212,F098,Dune,24,2025-03-24,US,8
U079,F045,Thor: Ragnarok,90,2025-07-29,DE,8
U120,F012,Star Wars: The Last Jedi,2,2025-09-01,IN,12
U129,F080,2 Fast 2 Furious,5,2025-07-10,BR,12
U011,F079,Fast & Furious,13,2025-05-27,JP,10
U024,F034,The Hobbit: The Battle of the Five Armies,2,2025-08-25,JP,8
U006,F094,Deadpool 2,7,2025-07-31,US,10
U045,F065,The Hunger Games,52,2025-07-16,BR,10
U047,F056,Frozen,26,2025-06-25,BR,12
U121,F043,Captain America: Civil War,92,2025-06-18,FR,12
U027,F066,The Hunger Games: Catching Fire,79,2025-05-29,IN,10
U074,F001,Avatar,27,2025-07-24,US,10
U081,F094,Deadpool 2,11,2025-05-27,UK,20
U104,F068,The Hunger Games: Mockingjay - Part 2,25,2025-03-06,MX,10
U014,F031,The Lord of the Rings: The Return of the King,60,2025-07-16,FR,12
U128,F019,The Matrix Reloaded,19,2025-03-19,AU,8
U034,F012,Star Wars: The Last Jedi,42,2025-06-26,BR,10
U250,F045,Thor: Ragnarok,23,2025-05-06,CA,8
U004,F080,2 Fast 2 Furious,52,2025-06-18,UK,12
U216,F082,Fast Five,25,2025-07-02,UK,20
U040,F065,The Hunger Games,21,2025-05-19,MX,10
U107,F065,The Hunger Games,121,2025-07-04,AU,8
U038,F001,Avatar,95,2025-04-23,JP,8
U226,F098,Dune,10,2025-03-23,DE,10
U219,F079,Fast & Furious,112,2025-06-01,MX,8
U001,F012,Star Wars: The Last Jedi,29,2025-05-21,JP,8
U169,F065,The Hunger Games,121,2025-04-13,BR,15
U089,F048,Black Panther,94,2025-07-25,MX,10
U239,F048,Black Panther,32,2025-04-23,AU,10
U060,F079,Fast & Furious,2,2025-03-17,FR,20
U181,F001,Avatar,20,2025-06-12,CA,8
U010,F098,Dune,54,2025-07-12,JP,20
U026,F019,The Matrix Reloaded,63,2025-03-31,MX,10
U004,F098,Dune,21,2025-06-18,CA,15
U201,F094,Deadpool 2,5,2025-05-31,JP,12
U167,F005,Titanic,112,2025-05-29,MX,15
U082,F065,The Hunger Games,121,2025-07-22,US,20
U061,F012,Star Wars: The Last Jedi,32,2025-05-03,UK,10
U026,F082,Fast Five,8,2025-06-27,CA,20
U232,F101,Wonder Woman,17,2025-03-17,FR,10
U076,F043,Captain America: Civil War,2,2025-06-09,IN,10
U136,F079,Fast & Furious,112,2025-07-28,CA,10
U021,F045,Thor: Ragnarok,5,2025-06-11,JP,12
U128,F056,Frozen,42,2025-04-11,AU,8
U066,F019,The Matrix Reloaded,20,2025-05-10,US,12
U120,F012,Star Wars: The Last Jedi,35,2025-08-26,MX,12
U114,F043,Captain America: Civil War,48,2025-08-03,DE,15
U109,F094,Deadpool 2,66,2025-06-30,DE,15
U099,F065,The Hunger Games,13,2025-04-02,AU,10
U092,F056,Frozen,2,2025-05-20,DE,10
U213,F001,Avatar,9,2025-05-15,US,10
U176,F011,Star Wars: The Force Awakens,117,2025-08-08,BR,8
U232,F012,Star Wars: The Last Jedi,87,2025-05-03,JP,8
U057,F031,The Lord of the Rings: The Return of the King,61,2025-08-11,DE,10
U185,F098,Dune,64,2025-08-13,UK,10
U166,F011,Star Wars: The Force Awakens,63,2025-05-24,BR,20
U094,F098,Dune,13,2025-03-29,DE,12
U107,F066,The Hunger Games: Catching Fire,93,2025-04-26,CA,10
U225,F043,Captain America: Civil War,24,2025-07-19,MX,12
U213,F066,The Hunger Games: Catching Fire,22,2025-05-10,BR,8
U076,F048,Black Panther,43,2025-04-04,BR,10
U037,F034,The Hobbit: The Battle of the Five Armies,2,2025-08-26,IN,12
U206,F080,2 Fast 2 Furious,11,2025-06-07,UK,10
U004,F094,Deadpool 2,50,2025-07-21,UK,10
U173,F094,Deadpool 2,3,2025-08-02,IN,20
U241,F043,Captain America: Civil War,42,2025-04-02,AU,15
U159,F080,2 Fast 2 Furious,18,2025-05-28,JP,12
U017,F019,The Matrix Reloaded,31,2025-09-01,DE,12
U030,F098,Dune,24,2025-03-17,US,12
U127,F082,Fast Five,19,2025-03-30,AU,10
U035,F001,Avatar,83,2025-06-30,FR,10
U191,F080,2 Fast 2 Furious,22,2025-06-21,JP,8
U040,F079,Fast & Furious,46,2025-08-20,UK,10
U158,F079,Fast & Furious,36,2025-05-16,US,12
U056,F019,The Matrix Reloaded,68,2025-06-27,AU,10
U026,F043,Captain America: Civil War,92,2025-07-23,FR,20
U071,F031,The Lord of the Rings: The Return of the King,89,2025-04-06,BR,20
U055,F045,Thor: Ragnarok,10,2025-03-11,US,15
U063,F098,Dune,2,2025-07-28,AU,12
U196,F080,2 Fast 2 Furious,19,2025-04-28,JP,15
U223,F034,The Hobbit: The Battle of the Five Armies,49,2025-05-29,CA,8
U153,F101,Wonder Woman,2,2025-05-15,CA,15
U139,F094,Deadpool 2,25,2025-04-19,UK,8
U007,F098,Dune,64,2025-03-09,FR,15
U061,F056,Frozen,19,2025-05-27,US,10
U014,F098,Dune,103,2025-06-21,MX,15
U017,F065,The Hunger Games,6,2025-06-28,FR,20
U028,F019,The Matrix Reloaded,4,2025-07-12,AU,8
U012,F068,The Hunger Games: Mockingjay - Part 2,69,2025-05-22,BR,10
U008,F011,Star Wars: The Force Awakens,40,2025-07-06,IN,20
U028,F065,The Hunger Games,70,2025-06-27,UK,10
U083,F045,Thor: Ragnarok,25,2025-04-12,UK,15
U160,F056,Frozen,13,2025-07-24,FR,12
U153,F068,The Hunger Games: Mockingjay - Part 2,90,2025-05-20,BR,10
U111,F082,Fast Five,71,2025-09-01,UK,10
U167,F080,2 Fast 2 Furious,77,2025-04-30,IN,10
U059,F079,Fast & Furious,17,2025-05-31,BR,15
U187,F082,Fast Five,39,2025-05-25,IN,10
U066,F043,Captain America: Civil War,20,2025-04-14,BR,12
U213,F005,Titanic,6,2025-03-29,IN,10
U190,F043,Captain America: Civil War,92,2025-04-08,MX,12
U245,F080,2 Fast 2 Furious,9,2025-07-27,FR,15
U106,F043,Captain America: Civil War,92,2025-08-23,IN,20
U185,F011,Star Wars: The Force Awakens,34,2025-05-18,JP,10
U027,F056,Frozen,10,2025-07-13,AU,15
U124,F034,The Hobbit: The Battle of the Five Armies,42,2025-04-02,FR,15
U095,F082,Fast Five,89,2025-05-16,JP,12
U110,F080,2 Fast 2 Furious,85,2025-08-12,JP,20
U143,F101,Wonder Woman,87,2025-08-08,DE,10
U070,F012,Star Wars: The Last Jedi,46,2025-05-31,FR,8
U223,F098,Dune,83,2025-07-28,IN,15
U190,F101,Wonder Woman,101,2025-03-29,MX,10
U108,F019,The Matrix Reloaded,18,2025-06-01,CA,15
U185,F048,Black Panther,39,2025-07-29,JP,15
U014,F098,Dune,17,2025-04-15,JP,8
U021,F094,Deadpool 2,75,2025-06-27,IN,15
U114,F079,Fast & Furious,112,2025-05-14,AU,10
U030,F043,Captain America: Civil War,2,2025-06-24,UK,12
U174,F056,Frozen,59,2025-07-08,MX,12
U012,F034,The Hobbit: The Battle of the Five Armies,109,2025-06-15,JP,20
U053,F012,Star Wars: The Last Jedi,8,2025-04-29,CA,8
U075,F048,Black Panther,49,2025-04-05,US,10
U111,F066,The Hunger Games: Catching Fire,93,2025-04-08,IN,12
U059,F068,The Hunger Games: Mockingjay - Part 2,2,2025-07-27,FR,15
U221,F011,Star Wars: The Force Awakens,69,2025-06-25,US,12
U020,F048,Black Panther,20,2025-07-31,IN,8
U182,F079,Fast & Furious,112,2025-05-19,UK,10
U248,F048,Black Panther,118,2025-04-18,JP,10
U177,F043,Captain America: Civil War,92,2025-03-28,IN,15
U063,F079,Fast & Furious,36,2025-08-03,IN,10
U102,F012,Star Wars: The Last Jedi,86,2025-05-31,AU,10
U044,F005,Titanic,116,2025-07-14,UK,20
U050,F043,Captain America: Civil War,17,2025-06-03,CA,8
U038,F094,Deadpool 2,66,2025-04-25,CA,20
U195,F005,Titanic,2,2025-04-20,BR,12
U145,F056,Frozen,44,2025-06-28,JP,15
U160,F048,Black Panther,15,2025-08-13,FR,10
U018,F065,The Hunger Games,7,2025-06-27,DE,8
U152,F011,Star Wars: The Force Awakens,4,2025-06-04,MX,15
U119,F019,The Matrix Reloaded,75,2025-03-15,US,15
U074,F005,Titanic,25,2025-08-18,UK,15
U130,F001,Avatar,85,2025-07-02,JP,8
U203,F011,Star Wars: The Force Awakens,3,2025-06-29,JP,15
U083,F045,Thor: Ragnarok,17,2025-07-05,MX,15
U016,F019,The Matrix Reloaded,48,2025-04-01,FR,12
U022,F068,The Hunger Games: Mockingjay - Part 2,82,2025-08-18,CA,15
U182,F019,The Matrix Reloaded,24,2025-06-26,MX,15
U041,F043,Captain America: Civil War,45,2025-06-09,DE,12
U199,F048,Black Panther,118,2025-08-26,JP,8
U162,F048,Black Panther,56,2025-03-22,FR,10
U174,F001,Avatar,17,2025-05-17,DE,8
U169,F045,Thor: Ragnarok,2,2025-04-13,FR,10
U170,F098,Dune,141,2025-06-03,DE,10
U179,F001,Avatar,2,2025-04-08,JP,8
U022,F012,Star Wars: The Last Jedi,87,2025-07-27,IN,10
U085,F098,Dune,53,2025-08-24,MX,8
U172,F079,Fast & Furious,112,2025-07-14,FR,15
U080,F066,The Hunger Games: Catching Fire,74,2025-04-29,FR,20
U125,F031,The Lord of the Rings: The Return of the King,135,2025-05-02,CA,8
U076,F082,Fast Five,19,2025-07-13,MX,20
U227,F068,The Hunger Games: Mockingjay - Part 2,77,2025-03-15,FR,12
U159,F098,Dune,36,2025-08-05,IN,10
U047,F045,Thor: Ragnarok,29,2025-04-17,BR,8
U094,F034,The Hobbit: The Battle of the Five Armies,53,2025-06-27,JP,12
U192,F019,The Matrix Reloaded,126,2025-05-04,MX,15
U248,F065,The Hunger Games,121,2025-04-24,FR,15
U147,F019,The Matrix Reloaded,92,2025-07-02,DE,8
U129,F068,The Hunger Games: Mockingjay - Part 2,28,2025-06-21,CA,8
U206,F045,Thor: Ragnarok,24,2025-04-10,DE,10
U124,F043,Captain America: Civil War,61,2025-07-25,UK,10
U133,F082,Fast Five,12,2025-05-17,UK,10
U070,F019,The Matrix Reloaded,7,2025-07-15,CA,10
U024,F034,The Hobbit: The Battle of the Five Armies,23,2025-06-29,FR,15
U107,F011,Star Wars: The Force Awakens,19,2025-06-15,MX,20
U099,F005,Titanic,21,2025-06-09,AU,10
U239,F082,Fast Five,11,2025-08-19,FR,20
U036,F011,Star Wars: The Force Awakens,2,2025-05-18,BR,10
U036,F065,The Hunger Games,2,2025-06-28,JP,10
U021,F101,Wonder Woman,107,2025-05-10,AU,10
U141,F045,Thor: Ragnarok,25,2025-07-19,IN,12
U074,F034,The Hobbit: The Battle of the Five Armies,26,2025-05-22,UK,20
U108,F045,Thor: Ragnarok,51,2025-07-01,UK,12
U232,F065,The Hunger Games,14,2025-08-05,MX,10
U132,F056,Frozen,98,2025-05-06,CA,12
U001,F045,Thor: Ragnarok,69,2025-06-04,AU,8
U048,F005,Titanic,5,2025-07-18,FR,15
U135,F080,2 Fast 2 Furious,35,2025-07-13,MX,12
U100,F065,The Hunger Games,121,2025-03-17,IN,10
U065,F101,Wonder Woman,107,2025-06-05,UK,12
U188,F082,Fast Five,28,2025-08-01,FR,12
U091,F080,2 Fast 2 Furious,61,2025-05-31,CA,8
U176,F019,The Matrix Reloaded,11,2025-08-31,BR,12
U208,F098,Dune,141,2025-03-22,BR,10
U052,F011,Star Wars: The Force Awakens,15,2025-04-26,US,15
U080,F068,The Hunger Games: Mockingjay - Part 2,106,2025-06-15,MX,15
U010,F031,The Lord of the Rings: The Return of the King,70,2025-05-18,FR,15
U013,F048,Black Panther,55,2025-05-14,UK,12
U112,F001,Avatar,47,2025-06-26,IN,12
U048,F065,The Hunger Games,15,2025-08-30,BR,8
U205,F068,The Hunger Games: Mockingjay - Part 2,10,2025-05-13,UK,15
U021,F079,Fast & Furious,13,2025-08-07,CA,10
U083,F082,Fast Five,9,2025-03-26,FR,10
U079,F019,The Matrix Reloaded,95,2025-08-07,IN,10
U114,F043,Captain America: Civil War,19,2025-06-28,US,8
U234,F043,Captain America: Civil War,2,2025-08-10,IN,12
U203,F011,Star Wars: The Force Awakens,117,2025-03-25,IN,8
U206,F066,The Hunger Games: Catching Fire,93,2025-03-13,CA,15
U174,F019,The Matrix Reloaded,126,2025-03-14,CA,10
U200,F043,Captain America: Civil War,92,2025-06-06,IN,8
U009,F045,Thor: Ragnarok,8,2025-04-14,BR,12
U096,F019,The Matrix Reloaded,31,2025-03-25,JP,8
U094,F001,Avatar,93,2025-05-25,DE,10
U030,F101,Wonder Woman,63,2025-04-22,BR,15
U234,F080,2 Fast 2 Furious,10,2025-04-05,DE,8
U181,F019,The Matrix Reloaded,106,2025-04-29,JP,15
U235,F065,The Hunger Games,15,2025-04-26,UK,8
U019,F019,The Matrix Reloaded,15,2025-04-19,BR,10
U208,F048,Black Panther,45,2025-08-23,FR,15
U141,F080,2 Fast 2 Furious,58,2025-05-19,DE,10
U183,F066,The Hunger Games: Catching Fire,40,2025-06-06,MX,8
U052,F098,Dune,6,2025-05-05,BR,10
U142,F056,Frozen,98,2025-06-08,BR,10
U142,F098,Dune,21,2025-08-09,UK,15
U102,F065,The Hunger Games,8,2025-07-18,IN,10
U211,F056,Frozen,98,2025-03-24,CA,15
U165,F005,Titanic,125,2025-06-29,BR,15
U089,F098,Dune,139,2025-07-25,JP,10
U248,F098,Dune,116,2025-06-24,MX,20
U015,F082,Fast Five,47,2025-07-16,CA,10
U042,F048,Black Panther,47,2025-05-02,FR,20
U133,F012,Star Wars: The Last Jedi,3,2025-03-26,DE,8
U245,F080,2 Fast 2 Furious,34,2025-05-15,CA,12
U158,F080,2 Fast 2 Furious,30,2025-03-29,MX,10
U152,F056,Frozen,14,2025-04-14,CA,10
U185,F045,Thor: Ragnarok,57,2025-05-31,JP,12
U222,F101,Wonder Woman,36,2025-03-26,US,15
U198,F056,Frozen,4,2025-05-12,AU,8
U107,F045,Thor: Ragnarok,11,2025-08-16,US,8
U161,F080,2 Fast 2 Furious,74,2025-05-19,DE,15
U207,F001,Avatar,5,2025-05-21,BR,12
U016,F066,The Hunger Games: Catching Fire,88,2025-06-26,IN,20
U053,F048,Black Panther,40,2025-08-08,CA,15
U184,F048,Black Panther,38,2025-06-02,IN,20
U095,F068,The Hunger Games: Mockingjay - Part 2,47,2025-07-27,UK,15
U120,F082,Fast Five,77,2025-05-13,BR,10
U025,F011,Star Wars: The Force Awakens,25,2025-05-19,IN,8
U108,F034,The Hobbit: The Battle of the Five Armies,61,2025-04-15,FR,15
U185,F048,Black Panther,49,2025-04-23,CA,12
U132,F019,The Matrix Reloaded,19,2025-07-11,DE,8
U024,F001,Avatar,132,2025-07-13,BR,10
U056,F056,Frozen,78,2025-06-04,US,20
U127,F045,Thor: Ragnarok,48,2025-08-20,BR,12
U003,F082,Fast Five,84,2025-06-24,CA,10
U187,F043,Captain America: Civil War,92,2025-06-17,FR,10
U014,F056,Frozen,60,2025-07-27,AU,10
U074,F005,Titanic,113,2025-06-12,MX,10
U141,F094,Deadpool 2,44,2025-08-12,JP,10
U250,F082,Fast Five,50,2025-06-14,FR,8
U087,F080,2 Fast 2 Furious,62,2025-06-07,CA,15
U131,F001,Avatar,92,2025-07-12,US,10
U036,F048,Black Panther,10,2025-07-05,MX,15
U156,F068,The Hunger Games: Mockingjay - Part 2,106,2025-04-10,FR,15
U082,F066,The Hunger Games: Catching Fire,93,2025-06-14,JP,10
U077,F056,Frozen,2,2025-05-31,MX,12
U137,F065,The Hunger Games,105,2025-07-28,DE,10
U005,F043,Captain America: Civil War,6,2025-05-29,UK,15
U150,F012,Star Wars: The Last Jedi,17,2025-08-29,US,10
U068,F056,Frozen,66,2025-07-31,AU,12
U150,F065,The Hunger Games,10,2025-04-18,MX,12
U159,F001,Avatar,112,2025-04-12,AU,10
U243,F082,Fast Five,79,2025-04-23,US,8
U108,F098,Dune,49,2025-06-19,AU,12
U199,F045,Thor: Ragnarok,2,2025-07-04,US,15
U133,F031,The Lord of the Rings: The Return of the King,22,2025-07-27,FR,10
U123,F068,The Hunger Games: Mockingjay - Part 2,50,2025-06-10,FR,12
U118,F080,2 Fast 2 Furious,130,2025-06-01,MX,10
U198,F094,Deadpool 2,37,2025-08-09,BR,15
U064,F094,Deadpool 2,11,2025-07-26,DE,8
U250,F012,Star Wars: The Last Jedi,43,2025-05-18,AU,15
U126,F048,Black Panther,45,2025-07-06,FR,10
U240,F094,Deadpool 2,56,2025-05-18,UK,10
U140,F001,Avatar,7,2025-06-15,FR,8
U206,F098,Dune,100,2025-05-19,US,8
U183,F005,Titanic,48,2025-06-02,BR,12
U192,F065,The Hunger Games,121,2025-04-29,AU,10
U070,F080,2 Fast 2 Furious,27,2025-08-31,DE,15
U158,F056,Frozen,49,2025-05-06,AU,8
U232,F068,The Hunger Games: Mockingjay - Part 2,106,2025-05-02,AU,10
U106,F048,Black Panther,6,2025-07-04,UK,10
U036,F101,Wonder Woman,107,2025-07-24,CA,8
U240,F065,The Hunger Games,70,2025-07-06,AU,8
U074,F048,Black Panther,4,2025-05-18,US,10
U023,F056,Frozen,17,2025-05-04,MX,10
U218,F011,Star Wars: The Force Awakens,72,2025-04-19,IN,10
U046,F011,Star Wars: The Force Awakens,4,2025-06-15,BR,12
U192,F012,Star Wars: The Last Jedi,37,2025-03-15,US,12
U155,F082,Fast Five,18,2025-05-30,DE,8
